epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,219.611,1.6909,2.6517,2.24895,1.56303,0,0.17244,0.18133,0.10067,0.03791,0.13189,0.07575,0.02865,0.00382,1.81996,1.93284,60.8981,1.82092,0,0.00066481,0.00066481,0.00066481
2,419.392,1.76582,2.49366,1.95809,1.60076,0,0.2447,0.23259,0.14344,0.04535,0.07851,0.05815,0.01338,0.00176,2.05369,1.85353,12.2574,2.06562,0,0.00131683,0.00131683,0.00131683
3,619.567,1.65781,2.44047,1.82202,1.53478,0,0.30397,0.30566,0.19051,0.07105,0.16896,0.1534,0.0549,0.00793,1.58457,1.72067,18.6766,1.51391,0,0.00195418,0.00195418,0.00195418
4,818.425,1.59092,2.44082,1.74562,1.49353,0,0.50424,0.35731,0.30724,0.14379,0.36835,0.25249,0.16083,0.02584,1.47309,1.71232,11.1344,1.44406,0,0.001934,0.001934,0.001934
5,1019.43,1.51008,2.37956,1.64204,1.43779,0,0.56163,0.37452,0.35335,0.18582,0.40888,0.26358,0.17837,0.02837,1.31589,1.64874,9.86942,1.28787,0,0.001912,0.001912,0.001912
6,1216.56,1.46534,2.36576,1.59668,1.41757,0,0.55181,0.39753,0.37493,0.20086,0.36234,0.24407,0.15141,0.02333,1.29052,1.67647,8.85282,1.26862,0,0.00189,0.00189,0.00189
7,1411.83,1.43233,2.31923,1.53495,1.39223,0,0.51886,0.40551,0.35917,0.19815,0.38462,0.2788,0.18352,0.02908,1.27538,1.66559,10.4399,1.28172,0,0.001868,0.001868,0.001868
8,1607.26,1.4086,2.2847,1.4991,1.38289,0,0.52992,0.39709,0.35455,0.17441,0.4044,0.26779,0.18535,0.03126,1.34096,1.62466,13.0876,1.28122,0,0.001846,0.001846,0.001846
9,1802.97,1.37509,2.26487,1.44532,1.36005,0,0.6155,0.41398,0.43877,0.24277,0.5187,0.28883,0.25307,0.04496,1.2485,1.58681,6.08885,1.23275,0,0.001824,0.001824,0.001824
10,1999.6,1.36578,2.26618,1.45122,1.35584,0,0.66925,0.42651,0.46068,0.27359,0.55586,0.33755,0.30442,0.0565,1.17363,1.5776,6.02468,1.16883,0,0.001802,0.001802,0.001802
11,2200.17,1.34237,2.23486,1.40241,1.34285,0,0.69398,0.4199,0.46219,0.27046,0.54814,0.30949,0.2693,0.04675,1.17556,1.57768,6.96045,1.19679,0,0.00178,0.00178,0.00178
12,2398.67,1.31914,2.21492,1.37361,1.32834,0,0.6859,0.41853,0.45607,0.26821,0.51035,0.29686,0.24377,0.04014,1.17307,1.56302,5.99955,1.16389,0,0.001758,0.001758,0.001758
